"Local Identifier","Title/Name","PSAP Assessment Score","Assessment Type","Location","Resource Type","Parent Resource","Format","Format Ink/Media Type","Format Support Type","Significance","Language","Rights","Description","Created","Updated","Has the disc been played back recently, or is there documentation of its playback quality?","Assess the level of palmitic acid deposits on the disc surface","If this disc is a lacquered (instantaneous) disc, what is the disc's core material?","Assess the level of dust, dirt or debris on this disc","Is this item exhibiting mold and/or pest (e.g. insect, rodent) damage?","What is the state of the disc, in terms of physical damage sustained?","Is the disc protected by an inner sleeve?","Does the container or item have any meaningful labeling?","Does this item have an appropriate container in good condition?","Is this item properly supported in storage?","Do you have appropriate playback equipment for this item?","Is this item played back or handled regularly?","Is this a unique item in terms of its content?"
"","2002.03.78.2496","39.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:40:16Z","2018-05-22T00:41:06Z","No","None","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2497","31.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:38:45Z","2018-05-22T00:39:39Z","No","Moderate","Cardboard","Slight/None","Mold","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2498","33.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:34:43Z","2018-05-22T00:38:08Z","No","Moderate","Metal","Slight/None","Neither","Serious","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2499","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:33:23Z","2018-05-22T00:34:05Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2500","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:31:57Z","2018-05-22T00:32:40Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2501","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:30:37Z","2018-05-22T00:31:20Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2502","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T00:29:17Z","2018-05-22T00:29:58Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2503","37.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-22T22:40:13Z","2018-05-22T22:40:59Z","No","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2504","47.5","Item-Level","Basement","Item"," ","Unidentified"," "," ",""," ","","","2018-05-22T00:27:01Z","2018-05-22T00:27:40Z","No"," "," ","Slight/None","Mold","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2663","42.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-06-26T00:35:36Z","2018-06-26T00:36:25Z","No","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2665","36.5","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-06-26T01:27:28Z","2018-06-26T01:28:20Z","No","None","Cardboard","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.78.2666","40.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-06-26T01:27:48Z","2018-06-26T01:29:04Z","No","None","Cardboard","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2013.03.trans.001","39.25","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-24T00:14:23Z","2018-05-24T00:16:20Z","Yes","Moderate","Metal","Slight/None","Neither","Fair","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2013.03.trans.002","44.75","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-05-24T00:21:53Z","2018-05-24T00:25:44Z","Yes","None","Metal","Slight/None","Neither","Good","Yes","Yes","Yes","Yes","Yes","No","Yes"
